geometry,sets,ways,test,status,requests,responses
direct_mapped,128,1,smoke,PASS,4,4
direct_mapped,128,1,read_miss,PASS,1,1
direct_mapped,128,1,read_hit,PASS,2,2
direct_mapped,128,1,write_miss,PASS,2,2
direct_mapped,128,1,write_hit,PASS,3,3
direct_mapped,128,1,clean_evict,PASS,3,3
direct_mapped,128,1,dirty_evict,PASS,3,3
direct_mapped,128,1,maintenance,PASS,2,2
direct_mapped,128,1,read_error,PASS,2,2
direct_mapped,128,1,write_error,PASS,4,4
two_way,64,2,smoke,PASS,4,4
two_way,64,2,read_miss,PASS,1,1
two_way,64,2,read_hit,PASS,2,2
two_way,64,2,write_miss,PASS,2,2
two_way,64,2,write_hit,PASS,3,3
two_way,64,2,clean_evict,PASS,3,3
two_way,64,2,dirty_evict,PASS,3,3
two_way,64,2,maintenance,PASS,2,2
two_way,64,2,read_error,PASS,2,2
two_way,64,2,write_error,PASS,4,4
